"Address","C.SH","jensiat","sen","savad","m.t.s","v.f.s","N.T.M","T.O","S.Z","M.O.B","OTO","MO","DO","ZABT","TV","PC","TEL.H","OJAGH.GAZ","JAROO.B","MASHIN.L","CHARKH.KH","PANKE","MASHIN.Z","H.KHORAKI.NOOSHIDANI","H.ERTEBATAT","H.BEHDASHT","H.HAMLONAGHL","H.KALA.MOT","H.MASKAN","H.MOBLEMAN","H.POOSHAK","KHARID.KALA.BADAVAM","H.SARMAYEGOZARI","M.DARAMAD.NAKH","HOOGHOOGH.MOSTAMAR","GH.MOSTAMAR","M.DARAMAD.KH","DARYAFTI.NAKH.F","DARAMAD.M.KH.1","DARAMAD.M.KH.2","DARAMAD.M.KH.3","DARAMAD.M.KH.4","M.INCOME","DAHAK","DAHAK10"
12301281124,23,1,28,1,4,1,4,3,48,0,0,1,0,0,1,0,1,1,1,1,0,0,1,20492000,8e+05,0,6500000,2580000,18110000,650000,1500000,215165000,2e+08,4.2e+08,0,0,1.026e+09,0,0,0,156120000,12360000,1614480000,7,0
12301284020,23,1,28,1,2,1,4,3,60,0,1,0,1,0,1,0,1,1,1,1,0,0,0,19760000,180000,2e+05,2450000,2390000,19785000,659000,0,26500000,0,1.22e+09,0,0,3.1e+08,0,0,0,0,29600000,1559600000,7,0
12303286035,23,1,28,1,6,1,4,3,75,0,1,0,0,0,1,0,1,1,1,1,0,0,0,15830000,1050000,2800000,3e+06,610000,16850000,1210000,3e+06,241400000,2.5e+08,0,0,1e+07,113923334,0,0,0,0,1e+07,133923334,1,0
12310288826,23,1,28,1,6,1,4,4,80,0,0,1,0,0,1,0,1,1,1,1,0,0,0,8520000,2300000,0,2200000,5e+05,48590000,1435000,4100000,7760000,0,0,614900000,4e+07,8.4e+08,2.3e+08,0,1892000,5.83e+08,0,2309792000,9,0
12312290026,23,1,28,1,5,1,4,4,75,0,1,0,0,0,1,1,1,1,1,1,1,0,0,22130000,820000,0,1e+06,1470000,21800000,1600000,0,13255000,0,1e+09,0,0,0,0,0,0,29010000,0,1029010000,5,0
12319292735,23,2,28,1,6,1,4,3,75,0,1,0,0,0,1,0,1,1,1,1,0,0,0,12150000,2900000,0,1300000,1530000,17730000,1570000,650000,81750000,0,0,4.8e+08,4e+07,6e+08,0,0,0,0,70640000,1190640000,6,0
12301266235,23,1,29,1,1,1,5,1,9,1,0,0,0,0,1,0,1,1,0,0,0,0,0,13640000,1350000,2200000,5e+05,1190000,5850000,1190000,0,145150000,4e+08,0,5.16e+08,0,2.76e+08,0,0,0,0,24600000,816600000,4,0
12301273235,23,1,29,1,6,1,3,3,40,0,0,0,0,0,1,0,1,1,1,1,0,0,0,14370000,1500000,2e+05,3880000,3020000,35800000,1e+05,0,51200000,0,0,4.8e+08,3e+07,0,0,0,0,0,17940000,527940000,3,0
12301275432,23,2,29,1,7,1,3,4,80,0,1,0,0,0,1,1,1,1,1,1,0,0,0,27623000,2e+06,550000,1400000,1685000,51810000,0,18440000,32570000,0,3.6e+08,379150000,0,0,0,0,0,0,22360000,761510000,4,0
12301280928,23,1,29,1,2,1,4,3,43,0,1,0,0,0,1,0,1,1,1,1,0,0,0,16842400,1070000,5800000,5e+05,1590000,31050000,2450000,3100000,26025000,0,2066450000,358453340,0,0,0,0,0,0,98220000,2523123340,9,0
12306286529,23,1,29,1,1,1,4,3,70,1,0,1,0,0,1,0,1,1,1,1,1,0,0,18733000,2650000,70000,6e+05,2350000,37205000,1180000,0,370864000,0,0,1.68e+08,1.3e+07,7.2e+08,0,0,0,6.6e+08,6600000,1567600000,7,0
12309287432,23,1,29,1,1,1,4,3,70,0,0,0,0,0,1,0,1,1,1,1,0,0,0,5945000,1700000,375000,1350000,430000,13750000,4030000,0,121871942,0,1.2e+08,4.2e+08,0,0,0,0,1800000,0,20640000,562440000,3,0
12316288221,23,1,29,1,6,1,4,3,50,0,0,0,0,0,1,0,1,1,1,1,0,0,0,7592500,440000,0,5500000,920000,16020000,2180000,0,62830000,0,1.008e+09,1.6e+08,3e+07,4.2e+08,2.55e+08,0,0,0,0,1.873e+09,8,0
12317291632,23,1,29,1,7,1,6,3,50,0,0,0,0,0,1,0,1,1,1,1,0,0,0,12809000,1270000,0,0,1500000,21750000,1395000,4700000,6.9e+07,0,4.22e+08,0,0,0,0,0,0,0,0,4.22e+08,2,0
