jensiat,sen,savad,m.t.s,v.f.s,N.T.M,T.O,S.Z,M.O.B,OTO,MO,DO,ZABT,TV,PC,TEL.H,OJAGH.GAZ,JAROO.B,MASHIN.L,CHARKH.KH,PANKE,MASHIN.Z,H.KHORAKI.NOOSHIDANI,H.ERTEBATAT,H.BEHDASHT,H.HAMLONAGHL,H.KALA.MOT,H.MASKAN,H.MOBLEMAN,H.POOSHAK,KHARID.KALA.BADAVAM,H.SARMAYEGOZARI,DAHAK10
1,33,1,6,1,5,4,92,0,1,0,1,0,1,0,1,1,1,1,0,0,0,49430000,880000,0,0,1750000,47600000,1130000,0,230410000,7.00E+07,1
2,33,1,7,1,3,4,47,0,0,0,0,0,1,0,1,1,1,1,0,0,0,33050000,3.00E+05,0,2700000,1505000,36100000,0,0,42515000,0,0
1,33,1,6,1,4,4,67,0,1,1,0,0,1,0,1,1,1,1,0,0,0,12434000,530000,6950000,2.00E+06,5.00E+05,32635000,2450000,5.00E+06,33058000,0,0
1,33,1,4,1,1,4,90,0,1,1,0,0,1,0,1,1,1,1,0,0,0,6603500,470000,1600000,1800000,4800000,46400000,260000,0,16700000,0,0
2,33,1,4,3,4,3,60,0,0,0,0,0,1,0,1,1,1,0,0,0,0,17425000,550000,180000,950000,1800000,21690000,1150000,0,24200000,0,0
1,33,1,1,1,4,3,50,0,0,0,0,0,1,0,1,1,1,0,0,0,0,16300000,1200000,850000,4.00E+06,8.00E+05,34700000,1400000,0,113200000,0,0
1,33,1,6,1,3,4,55,0,1,0,0,0,1,1,1,1,1,1,0,0,0,18964000,560000,250000,5800000,2850000,26670000,2350000,4.00E+05,499577000,0,0
1,33,1,6,1,1,3,70,0,1,0,0,0,1,0,1,1,1,1,0,0,0,8175000,1165000,1.60E+07,1300000,695000,40930000,865000,1700000,348145000,3.00E+07,0
1,33,1,7,1,1,4,105,0,1,0,0,0,1,1,1,1,1,1,1,1,0,23441000,1400000,0,5.00E+05,0,91720000,3930000,850000,83650000,0,1
1,33,1,4,1,4,4,110,0,1,0,0,0,1,0,0,1,1,1,1,0,0,8581500,860000,7550000,550000,6.00E+05,11440000,940000,0,1430000,0,0
1,33,1,2,1,4,3,100,1,0,0,0,0,1,0,1,1,1,1,1,0,0,14281000,1400000,80000,9.00E+05,1350000,8890000,630000,7.00E+06,91808000,0,0
1,33,1,1,1,4,3,45,0,1,0,0,0,1,0,1,1,1,0,0,0,0,8730000,950000,0,2730000,570000,25980000,350000,1800000,4500000,0,0
1,33,1,2,1,4,3,50,0,0,1,0,0,1,0,1,1,1,1,0,0,0,8515000,150000,3460000,1.00E+06,345000,19900000,1310000,4580000,5500000,0,0
1,33,1,5,1,4,4,90,0,1,0,0,0,1,1,1,1,1,1,0,0,0,10202000,820000,9450000,150000,1700000,32050000,690000,8.00E+05,94730000,0,0
1,33,1,4,1,1,3,90,0,1,0,0,0,1,0,1,1,1,1,0,0,0,9858400,1630000,0,2550000,1050000,24970000,0,7050000,82650000,0,0
1,33,1,1,1,1,3,50,1,1,0,0,0,1,0,1,1,1,1,1,0,0,15830000,50000,6820000,2.00E+05,840000,10920000,733000,0,9200000,0,0
1,33,1,6,1,1,4,65,0,1,0,0,0,1,0,1,0,1,1,0,0,0,8579600,250000,0,4400000,9080000,21900000,0,0,82888000,0,0
1,33,1,6,1,4,4,85,0,1,0,0,0,1,0,1,1,1,1,0,0,0,14525000,450000,3500000,1800000,9.00E+05,34480000,795000,4600000,80980000,0,0
1,33,1,6,1,4,3,48,0,0,0,0,0,1,0,0,1,1,1,0,0,0,28768000,420000,235000,0,3310000,10870000,4840000,2930000,20380000,0,1
1,33,1,6,1,6,3,80,0,1,0,0,0,1,1,1,1,1,1,1,0,0,9365000,1200000,1265000,3330000,9450000,19030000,0,0,478370000,0,0
1,33,1,7,1,4,3,72,0,0,0,0,0,1,0,1,1,1,1,1,0,0,14761500,1300000,2130000,270000,2.00E+06,28665000,420000,6100000,273510000,0,0
1,33,1,2,1,1,4,60,0,1,0,0,0,1,0,1,1,1,1,1,0,0,3806900,220000,8.00E+06,930000,360000,20970000,810000,0,182445997,0,0
1,34,1,8,1,3,3,50,1,0,0,0,0,1,1,1,1,1,1,0,0,0,5072000,350000,2050000,5270000,1830000,41725000,2950000,0,970800000,0,0
1,34,1,5,1,1,3,45,0,1,0,0,0,1,0,1,1,1,1,1,0,0,17060450,1250000,2740000,5.00E+06,1350000,27680000,4250000,0,252050000,0,0
1,34,1,1,1,5,2,16,0,0,0,1,0,1,0,1,1,1,0,0,0,0,15310000,2.00E+06,2800000,2900000,6.00E+05,29280000,4045000,7060000,18390000,8.00E+08,0
2,34,1,6,1,4,4,66,0,0,0,0,0,1,1,1,1,1,1,1,0,0,24968000,4.00E+05,5.00E+05,2.00E+06,1580000,6290000,1665000,2150000,51670000,0,1
1,34,1,7,1,1,4,66,0,1,1,0,0,1,1,1,1,1,1,1,0,1,19295000,1800000,3020000,5.00E+05,1080000,91500000,2950000,850000,418700000,0,0
1,34,1,4,1,3,3,65,0,0,0,1,0,1,0,1,1,1,1,0,0,0,4360000,1.00E+06,2200000,1100000,650000,19950000,2840000,27700000,199880000,0,0
1,34,1,4,1,3,4,80,0,0,1,0,0,1,0,1,1,1,1,0,0,0,17858000,8.00E+05,0,6.00E+06,1300000,67510000,2410000,7.90E+07,9658000,0,1
1,34,1,6,1,5,4,120,0,1,0,0,0,1,1,1,1,1,1,1,0,0,14040000,2.00E+06,7.00E+05,1800000,1390000,35285000,2260000,0,3150000,0,0
1,34,1,1,1,3,3,60,0,0,0,0,0,1,0,1,1,1,0,0,0,0,18208000,9.00E+05,1550000,750000,720000,21670000,275000,1790000,190500000,0,0
1,34,1,1,1,4,3,55,0,1,0,0,0,1,0,1,1,1,1,0,0,0,7110000,1050000,2500000,1300000,240000,37170000,2520000,0,16080000,0,0
1,34,1,4,1,1,4,117,0,1,0,0,0,1,1,1,1,1,1,0,0,1,27617000,450000,1400000,1.00E+06,320000,76200000,2400000,250000,201202000,0,0
1,34,1,4,1,1,3,70,0,1,0,0,0,1,0,1,1,1,1,0,0,1,19068500,2.00E+06,0,7.00E+05,0,31400000,810000,0,37816940,0,0
1,34,1,4,1,3,3,40,0,0,0,0,0,1,0,1,1,1,0,0,0,0,16830000,550000,0,3.00E+05,1.00E+06,29950000,0,1.00E+06,21452664,0,1
1,34,1,1,1,4,3,70,1,0,0,0,0,1,0,1,1,1,1,1,0,0,15783000,620000,3360000,160000,620000,22965000,3170000,2600000,36800000,0,0
